編號,分類,常見問題,建議標準答案,關鍵字
331,14 KTV麻將娛樂與活動,有麻將桌嗎？,有，慢慢蒔光設有獨立麻將空間，可依現場規範使用。使用後請整理牌具、保持音量並依管家說明關閉設備。,麻將
332,14 KTV麻將娛樂與活動,麻將可以打到幾點？,麻將使用時間以入住須知或管家公告為準，目前建議晚上 10 點後降低音量，避免影響鄰居與住宿安寧。,麻將
333,14 KTV麻將娛樂與活動,麻將牌少了怎麼辦？,若發現麻將牌短少或設備異常，請先停止使用並通知管家，不要自行拆修或移動機台，以便確認是否缺件或故障。,麻將
334,14 KTV麻將娛樂與活動,有桌遊嗎？,有提供部分桌遊與娛樂用品，實際清單以現場配置為準。使用後請確認配件完整並放回原位，避免影響下一組客人。,有桌遊嗎
335,14 KTV麻將娛樂與活動,有Switch或遊戲機嗎？,目前不以 Switch 或遊戲機作為固定設備。若有遊戲設備需求，建議入住前先詢問當期現場配置，或自行攜帶並注意設備安全。,有Switch或
336,14 KTV麻將娛樂與活動,投影機可以用嗎？,目前不以投影機作為固定設備。若有投影、會議或活動需求，請入住前先提出，管家會確認現場是否可協助或建議自備。,投影機可以用嗎
337,14 KTV麻將娛樂與活動,可以看電影嗎？,房內或公共區電視與影音設備依現場配置為準，可觀看一般電視或使用可開放的影音功能；若需使用個人帳號，退房前請記得登出。,可以看電影嗎
338,14 KTV麻將娛樂與活動,可以辦生日派對嗎？,可先告知人數、時間、布置、餐飲與拍攝需求；民宿會確認場地、音量、停車與清潔規範。,可以辦生日派對嗎
339,14 KTV麻將娛樂與活動,可以辦求婚嗎？,可先告知人數、時間、布置、餐飲與拍攝需求；民宿會確認場地、音量、停車與清潔規範。,可以辦求婚嗎
340,14 KTV麻將娛樂與活動,可以辦抓周嗎？,可先告知人數、時間、布置、餐飲與拍攝需求；民宿會確認場地、音量、停車與清潔規範。,可以辦抓周嗎
341,14 KTV麻將娛樂與活動,可以辦結婚或訂婚儀式嗎？,可先告知人數、時間、布置、餐飲與拍攝需求；民宿會確認場地、音量、停車與清潔規範。,可以辦結婚或訂婚
342,14 KTV麻將娛樂與活動,可以請外部布置廠商進場嗎？,外部廠商、攝影師、直播或商業用途需事前申請，並確認進退場時間、器材與授權範圍。,可以請外部布置廠
343,14 KTV麻將娛樂與活動,可以請攝影師來拍照嗎？,外部廠商、攝影師、直播或商業用途需事前申請，並確認進退場時間、器材與授權範圍。,可以請攝影師來拍
344,14 KTV麻將娛樂與活動,可以直播嗎？,外部廠商、攝影師、直播或商業用途需事前申請，並確認進退場時間、器材與授權範圍。,可以直播嗎
345,14 KTV麻將娛樂與活動,可以使用煙霧機嗎？,不建議使用煙霧機、亮片、彩帶炮或會殘膠的布置；若造成清潔或損壞，可能另收費。,可以使用煙霧機嗎
346,14 KTV麻將娛樂與活動,可以撒亮片或彩帶嗎？,不建議使用煙霧機、亮片、彩帶炮或會殘膠的布置；若造成清潔或損壞，可能另收費。,可以撒亮片或彩帶
347,14 KTV麻將娛樂與活動,可以貼氣球在牆上嗎？,不建議使用煙霧機、亮片、彩帶炮或會殘膠的布置；若造成清潔或損壞，可能另收費。,可以貼氣球在牆上
348,14 KTV麻將娛樂與活動,有提供音樂播放設備嗎？,此問題需依民宿實際設備、房況與公告規定確認；建議訂房前先詢問，民宿會提供最準確答覆。,有提供音樂播放設
349,14 KTV麻將娛樂與活動,活動結束需要清潔嗎？,活動後請恢復基本整潔、垃圾分類並移除布置；戶外活動需遵守天候、安全與噪音規範。,清潔
350,14 KTV麻將娛樂與活動,活動可以到戶外嗎？,活動後請恢復基本整潔、垃圾分類並移除布置；戶外活動需遵守天候、安全與噪音規範。,活動可以到戶外嗎
351,15 戶外空間烤肉戲水,有庭院嗎？,庭院與露台依民宿開放時間使用，請注意安全、音量與清潔；孩童與寵物需由大人陪同。,有庭院嗎
352,15 戶外空間烤肉戲水,有露台嗎？,庭院與露台依民宿開放時間使用，請注意安全、音量與清潔；孩童與寵物需由大人陪同。,有露台嗎
353,15 戶外空間烤肉戲水,露台可以使用到幾點？,庭院與露台依民宿開放時間使用，請注意安全、音量與清潔；孩童與寵物需由大人陪同。,露台可以使用到幾
354,15 戶外空間烤肉戲水,可以在戶外吃東西嗎？,此問題需依民宿實際設備、房況與公告規定確認；建議訂房前先詢問，民宿會提供最準確答覆。,可以在戶外吃東西
355,15 戶外空間烤肉戲水,可以烤肉嗎？,烤肉需事前確認場地、設備、費用與安全規範；炭灰需完全熄滅冷卻，垃圾與廚餘依指定方式處理。,烤肉
356,15 戶外空間烤肉戲水,烤肉可以自備爐具嗎？,烤肉需事前確認場地、設備、費用與安全規範；炭灰需完全熄滅冷卻，垃圾與廚餘依指定方式處理。,烤肉
357,15 戶外空間烤肉戲水,烤肉後垃圾怎麼處理？,烤肉需事前確認場地、設備、費用與安全規範；炭灰需完全熄滅冷卻，垃圾與廚餘依指定方式處理。,烤肉
358,15 戶外空間烤肉戲水,下雨還可以烤肉嗎？,烤肉需事前確認場地、設備、費用與安全規範；炭灰需完全熄滅冷卻，垃圾與廚餘依指定方式處理。,烤肉
359,15 戶外空間烤肉戲水,可以玩水嗎？,戲水池或泳池開放依季節、天候與維護狀況；孩童必須由大人全程陪同並注意防滑。,可以玩水嗎
360,15 戶外空間烤肉戲水,泳池有開放嗎？,戲水池或泳池開放依季節、天候與維護狀況；孩童必須由大人全程陪同並注意防滑。,泳池
361,15 戶外空間烤肉戲水,戲水池水深多少？,戲水池或泳池開放依季節、天候與維護狀況；孩童必須由大人全程陪同並注意防滑。,戲水池水深多少
362,15 戶外空間烤肉戲水,可以帶游泳圈嗎？,戲水池或泳池開放依季節、天候與維護狀況；孩童必須由大人全程陪同並注意防滑。,可以帶游泳圈嗎
363,15 戶外空間烤肉戲水,泳池可以使用到幾點？,戲水池或泳池開放依季節、天候與維護狀況；孩童必須由大人全程陪同並注意防滑。,泳池
364,15 戶外空間烤肉戲水,戶外會有蚊子嗎？,戶外自然環境難免有蚊蟲，建議自備防蚊液並隨手關門紗窗；民宿防蚊用品依備品為準。,戶外會有蚊子嗎
365,15 戶外空間烤肉戲水,有提供防蚊用品嗎？,戶外自然環境難免有蚊蟲，建議自備防蚊液並隨手關門紗窗；民宿防蚊用品依備品為準。,有提供防蚊用品嗎
366,15 戶外空間烤肉戲水,可以在戶外抽菸嗎？,戶外吸菸需依指定吸菸區規定；若公告全館禁菸，戶外也請勿吸菸。,可以在戶外抽菸嗎
367,15 戶外空間烤肉戲水,可以帶寵物到戶外區嗎？,寵物可依規範在指定戶外區活動，請牽繩、看顧並立即清理排泄物。,寵物
368,15 戶外空間烤肉戲水,戶外區可以放音樂嗎？,戶外音樂、搭帳、空拍或戶外過夜需事前同意；需考量安全、隱私、噪音與法規。,戶外區可以放音樂
369,15 戶外空間烤肉戲水,可以在戶外搭帳篷嗎？,戶外音樂、搭帳、空拍或戶外過夜需事前同意；需考量安全、隱私、噪音與法規。,可以在戶外搭帳篷
370,15 戶外空間烤肉戲水,可以在戶外睡覺嗎？,戶外音樂、搭帳、空拍或戶外過夜需事前同意；需考量安全、隱私、噪音與法規。,可以在戶外睡覺嗎
371,15 戶外空間烤肉戲水,可以使用空拍機嗎？,戶外音樂、搭帳、空拍或戶外過夜需事前同意；需考量安全、隱私、噪音與法規。,可以使用空拍機嗎
372,15 戶外空間烤肉戲水,戶外燈幾點關？,戶外燈光、停車與設備請依指定方式使用；地面濕滑請注意安全，設備故障請通知民宿不要自行修理。,戶外燈幾點關
373,15 戶外空間烤肉戲水,庭院可以停車嗎？,庭院與露台依民宿開放時間使用，請注意安全、音量與清潔；孩童與寵物需由大人陪同。,停車
374,15 戶外空間烤肉戲水,戶外地面濕滑怎麼辦？,戶外燈光、停車與設備請依指定方式使用；地面濕滑請注意安全，設備故障請通知民宿不要自行修理。,戶外地面濕滑怎麼
375,15 戶外空間烤肉戲水,戶外設施壞了可以自己修嗎？,戶外燈光、停車與設備請依指定方式使用；地面濕滑請注意安全，設備故障請通知民宿不要自行修理。,戶外設施壞了可以
376,16 行李寄放與入住服務,可以寄放行李嗎？,行李寄放或宅配代收需事前確認時間、地點與責任範圍；貴重物品請自行保管。,行李
377,16 行李寄放與入住服務,行李可以先送到民宿嗎？,行李寄放或宅配代收需事前確認時間、地點與責任範圍；貴重物品請自行保管。,行李
378,16 行李寄放與入住服務,退房後可以放行李到下午嗎？,行李寄放或宅配代收需事前確認時間、地點與責任範圍；貴重物品請自行保管。,退房、行李
379,16 行李寄放與入住服務,可以提早把行李放進房間嗎？,行李寄放或宅配代收需事前確認時間、地點與責任範圍；貴重物品請自行保管。,行李
380,16 行李寄放與入住服務,有管家服務嗎？,民宿通常不是24小時飯店櫃台；服務時間依公告，緊急狀況請使用入住通知中的聯絡方式。,有管家服務嗎
381,16 行李寄放與入住服務,有24小時櫃台嗎？,民宿通常不是24小時飯店櫃台；服務時間依公告，緊急狀況請使用入住通知中的聯絡方式。,有24小時櫃台嗎
382,16 行李寄放與入住服務,晚上有問題找誰？,民宿通常不是24小時飯店櫃台；服務時間依公告，緊急狀況請使用入住通知中的聯絡方式。,晚上有問題找誰
383,16 行李寄放與入住服務,可以代收包裹嗎？,包裹、冷藏冷凍食材代收需先確認尺寸、到貨時間與保存空間；未確認寄送可能無法保存品質。,可以代收包裹嗎
384,16 行李寄放與入住服務,可以幫忙準備蛋糕嗎？,蛋糕、房內布置或驚喜安排可提前詢問；需確認費用、進場時間與不得傷牆或造成清潔負擔。,可以幫忙準備蛋糕
385,16 行李寄放與入住服務,可以幫忙布置房間嗎？,蛋糕、房內布置或驚喜安排可提前詢問；需確認費用、進場時間與不得傷牆或造成清潔負擔。,可以幫忙布置房間
386,16 行李寄放與入住服務,可以幫忙叫車嗎？,可提供叫車資訊或協助聯繫車行；車資、等待與行程以車行回覆為準。,可以幫忙叫車嗎
387,16 行李寄放與入住服務,可以代訂餐嗎？,若有代訂餐或合作店家，可依截止時間協助；熱門時段或臨時需求不保證可訂。,可以代訂餐嗎
388,16 行李寄放與入住服務,可以提供旅遊建議嗎？,可依親子、寵物、雨天、拍照或美食需求提供在地建議；行前可再確認導航與停車。,可以提供旅遊建議
389,16 行李寄放與入住服務,有迎賓小禮嗎？,迎賓小禮或活動贈品會依當期方案提供，不一定每個訂房都固定包含；下訂前可詢問目前是否有慢寶相關小禮或活動。,有迎賓小禮嗎
390,16 行李寄放與入住服務,可以幫忙收垃圾嗎？,連住補備品、收垃圾與清潔服務依民宿公告；有需求請於服務時間聯繫。,可以幫忙收垃圾嗎
391,16 行李寄放與入住服務,連住會補備品嗎？,連住補備品、收垃圾與清潔服務依民宿公告；有需求請於服務時間聯繫。,連住會補備品嗎
392,16 行李寄放與入住服務,可以借針線包嗎？,針線包、雨傘、充電器、嬰兒用品等是否可借依現場備品；數量有限，使用後請歸還。,可以借針線包嗎
393,16 行李寄放與入住服務,可以借雨傘嗎？,針線包、雨傘、充電器、嬰兒用品等是否可借依現場備品；數量有限，使用後請歸還。,可以借雨傘嗎
394,16 行李寄放與入住服務,可以借充電器嗎？,針線包、雨傘、充電器、嬰兒用品等是否可借依現場備品；數量有限，使用後請歸還。,可以借充電器嗎
395,16 行李寄放與入住服務,可以借嬰兒用品嗎？,針線包、雨傘、充電器、嬰兒用品等是否可借依現場備品；數量有限，使用後請歸還。,可以借嬰兒用品嗎
396,16 行李寄放與入住服務,可以提前寄食材過去嗎？,包裹、冷藏冷凍食材代收需先確認尺寸、到貨時間與保存空間；未確認寄送可能無法保存品質。,可以提前寄食材過
397,16 行李寄放與入住服務,可以晚點回覆入住人數嗎？,請於指定期限前確認最終人數，方便準備寢具、備品、早餐、停車與旅客登記。,入住
398,16 行李寄放與入住服務,可以入住前一天再確認路線嗎？,可依親子、寵物、雨天、拍照或美食需求提供在地建議；行前可再確認導航與停車。,入住
399,16 行李寄放與入住服務,可以提供房內驚喜安排嗎？,蛋糕、房內布置或驚喜安排可提前詢問；需確認費用、進場時間與不得傷牆或造成清潔負擔。,可以提供房內驚喜
400,16 行李寄放與入住服務,如果臨時需要協助搬行李呢？,行李寄放或宅配代收需事前確認時間、地點與責任範圍；貴重物品請自行保管。,行李
401,17 旅遊行程與在地推薦,附近有什麼景點？,可以依停留天數、親子、寵物、拍照、美食或雨天需求提供順路行程；實際營業與路況請出發前確認。,景點
402,17 旅遊行程與在地推薦,宜蘭有什麼推薦行程？,可以依停留天數、親子、寵物、拍照、美食或雨天需求提供順路行程；實際營業與路況請出發前確認。,宜蘭有什麼推薦行
403,17 旅遊行程與在地推薦,下雨天可以去哪裡？,可以依停留天數、親子、寵物、拍照、美食或雨天需求提供順路行程；實際營業與路況請出發前確認。,下雨天可以去哪裡
404,17 旅遊行程與在地推薦,帶小孩附近可以去哪？,可以依停留天數、親子、寵物、拍照、美食或雨天需求提供順路行程；實際營業與路況請出發前確認。,帶小孩附近可以去
405,17 旅遊行程與在地推薦,帶寵物附近可以去哪？,可以依停留天數、親子、寵物、拍照、美食或雨天需求提供順路行程；實際營業與路況請出發前確認。,寵物
406,17 旅遊行程與在地推薦,附近有夜市嗎？,可提供附近熱門點、營業日、車程與注意事項；季節活動與店家營業時間變動大，建議出發前再確認。,附近有夜市嗎
407,17 旅遊行程與在地推薦,附近有溫泉嗎？,可提供附近熱門點、營業日、車程與注意事項；季節活動與店家營業時間變動大，建議出發前再確認。,附近有溫泉嗎
408,17 旅遊行程與在地推薦,附近可以看海嗎？,可提供附近熱門點、營業日、車程與注意事項；季節活動與店家營業時間變動大，建議出發前再確認。,附近可以看海嗎
409,17 旅遊行程與在地推薦,附近有步道嗎？,可提供附近熱門點、營業日、車程與注意事項；季節活動與店家營業時間變動大，建議出發前再確認。,附近有步道嗎
410,17 旅遊行程與在地推薦,可以幫我們排行程嗎？,可以依停留天數、親子、寵物、拍照、美食或雨天需求提供順路行程；實際營業與路況請出發前確認。,可以幫我們排行程
411,17 旅遊行程與在地推薦,兩天一夜怎麼排？,此問題需依民宿實際設備、房況與公告規定確認；建議訂房前先詢問，民宿會提供最準確答覆。,兩天一夜怎麼排
412,17 旅遊行程與在地推薦,三天兩夜怎麼排？,此問題需依民宿實際設備、房況與公告規定確認；建議訂房前先詢問，民宿會提供最準確答覆。,三天兩夜怎麼排
413,17 旅遊行程與在地推薦,附近有伴手禮店嗎？,可提供附近店家與採買建議；熱門店家建議提早訂位，郊區夜間採買請提前安排。,附近有伴手禮店嗎
414,17 旅遊行程與在地推薦,附近有咖啡廳嗎？,可提供附近店家與採買建議；熱門店家建議提早訂位，郊區夜間採買請提前安排。,附近有咖啡廳嗎
415,17 旅遊行程與在地推薦,附近有早午餐嗎？,可提供附近店家與採買建議；熱門店家建議提早訂位，郊區夜間採買請提前安排。,附近有早午餐嗎
416,17 旅遊行程與在地推薦,附近有素食餐廳嗎？,可提供附近店家與採買建議；熱門店家建議提早訂位，郊區夜間採買請提前安排。,附近有素食餐廳嗎
417,17 旅遊行程與在地推薦,附近有便利商店或藥局嗎？,可提供附近店家與採買建議；熱門店家建議提早訂位，郊區夜間採買請提前安排。,附近有便利商店或
418,17 旅遊行程與在地推薦,附近有醫院嗎？,可提供附近醫院、診所或動物醫院資訊；緊急狀況請先撥119或直接前往急診。,附近有醫院嗎
419,17 旅遊行程與在地推薦,附近有寵物醫院嗎？,可提供附近醫院、診所或動物醫院資訊；緊急狀況請先撥119或直接前往急診。,寵物
420,17 旅遊行程與在地推薦,可以幫忙訂票嗎？,票券代訂是否提供依民宿服務；通常可提供購票連結或建議，實際票務請旅客自行確認。,可以幫忙訂票嗎
421,17 旅遊行程與在地推薦,附近有農場嗎？,可提供附近熱門點、營業日、車程與注意事項；季節活動與店家營業時間變動大，建議出發前再確認。,附近有農場嗎
422,17 旅遊行程與在地推薦,附近有手作體驗嗎？,可提供附近熱門點、營業日、車程與注意事項；季節活動與店家營業時間變動大，建議出發前再確認。,附近有手作體驗嗎
423,17 旅遊行程與在地推薦,附近有拍照景點嗎？,可以依停留天數、親子、寵物、拍照、美食或雨天需求提供順路行程；實際營業與路況請出發前確認。,景點
424,17 旅遊行程與在地推薦,附近晚上有活動嗎？,可提供附近熱門點、營業日、車程與注意事項；季節活動與店家營業時間變動大，建議出發前再確認。,附近晚上有活動嗎
425,17 旅遊行程與在地推薦,退房後順遊哪裡比較好？,可以依停留天數、親子、寵物、拍照、美食或雨天需求提供順路行程；實際營業與路況請出發前確認。,退房
426,18 發票收據資料與身分登記,入住為什麼要登記資料？,民宿依法需登記住宿旅客資料並保存六個月；請出示身分證、護照或居留證等有效文件，資料會依個資規定處理。,入住
427,18 發票收據資料與身分登記,可以不給身分證嗎？,民宿依法需登記住宿旅客資料並保存六個月；請出示身分證、護照或居留證等有效文件，資料會依個資規定處理。,身分證
428,18 發票收據資料與身分登記,只給訂房代表證件可以嗎？,此問題需依民宿實際設備、房況與公告規定確認；建議訂房前先詢問，民宿會提供最準確答覆。,訂房
429,18 發票收據資料與身分登記,資料會保存多久？,住宿登記資料應用於住宿管理、法規要求與必要聯絡；保存期滿後可依民宿個資管理流程處理。,資料會保存多久
430,18 發票收據資料與身分登記,身分資料會拿去做行銷嗎？,民宿依法需登記住宿旅客資料並保存六個月；請出示身分證、護照或居留證等有效文件，資料會依個資規定處理。,身分資料會拿去做
431,18 發票收據資料與身分登記,可以拍身分證嗎？,民宿依法需登記住宿旅客資料並保存六個月；請出示身分證、護照或居留證等有效文件，資料會依個資規定處理。,身分證
432,18 發票收據資料與身分登記,外國人要提供護照嗎？,民宿依法需登記住宿旅客資料並保存六個月；請出示身分證、護照或居留證等有效文件，資料會依個資規定處理。,外國人要提供護照
433,18 發票收據資料與身分登記,訂房資料填錯怎麼辦？,請使用官方表單或官方LINE提供正確資料；姓名、電話、人數、車輛、寵物與發票資料有變更請入住前通知。,訂房
434,18 發票收據資料與身分登記,需要填入住表單嗎？,請使用官方表單或官方LINE提供正確資料；姓名、電話、人數、車輛、寵物與發票資料有變更請入住前通知。,入住
435,18 發票收據資料與身分登記,可以開收據嗎？,如需收據、發票、公司抬頭或統編，請在付款前提供；可開立格式與項目依民宿稅籍與實際收費辦理。,收據
436,18 發票收據資料與身分登記,可以開統編嗎？,如需收據、發票、公司抬頭或統編，請在付款前提供；可開立格式與項目依民宿稅籍與實際收費辦理。,可以開統編嗎
437,18 發票收據資料與身分登記,發票可以事後補開嗎？,如需收據、發票、公司抬頭或統編，請在付款前提供；可開立格式與項目依民宿稅籍與實際收費辦理。,發票
438,18 發票收據資料與身分登記,收據可以寫住宿費嗎？,如需收據、發票、公司抬頭或統編，請在付款前提供；可開立格式與項目依民宿稅籍與實際收費辦理。,收據
439,18 發票收據資料與身分登記,可以分開開收據嗎？,如需收據、發票、公司抬頭或統編，請在付款前提供；可開立格式與項目依民宿稅籍與實際收費辦理。,收據
440,18 發票收據資料與身分登記,平台訂房由誰開發票？,如需收據、發票、公司抬頭或統編，請在付款前提供；可開立格式與項目依民宿稅籍與實際收費辦理。,訂房、發票
441,18 發票收據資料與身分登記,押金會開收據嗎？,如需收據、發票、公司抬頭或統編，請在付款前提供；可開立格式與項目依民宿稅籍與實際收費辦理。,收據
442,18 發票收據資料與身分登記,加人費可以開收據嗎？,如需收據、發票、公司抬頭或統編，請在付款前提供；可開立格式與項目依民宿稅籍與實際收費辦理。,收據
443,18 發票收據資料與身分登記,寵物清潔費可以開收據嗎？,如需收據、發票、公司抬頭或統編，請在付款前提供；可開立格式與項目依民宿稅籍與實際收費辦理。,寵物、收據、清潔
444,18 發票收據資料與身分登記,公司旅遊可以開公司抬頭嗎？,如需收據、發票、公司抬頭或統編，請在付款前提供；可開立格式與項目依民宿稅籍與實際收費辦理。,公司旅遊可以開公
445,18 發票收據資料與身分登記,入住名單要提前給嗎？,請使用官方表單或官方LINE提供正確資料；姓名、電話、人數、車輛、寵物與發票資料有變更請入住前通知。,入住
446,18 發票收據資料與身分登記,資料填表安全嗎？,住宿登記資料應用於住宿管理、法規要求與必要聯絡；保存期滿後可依民宿個資管理流程處理。,資料填表安全嗎
447,18 發票收據資料與身分登記,可以刪除我的個資嗎？,住宿登記資料應用於住宿管理、法規要求與必要聯絡；保存期滿後可依民宿個資管理流程處理。,可以刪除我的個資
448,18 發票收據資料與身分登記,可以使用假名訂房嗎？,訂房可用暱稱聯絡，但入住登記需提供真實身分資料，確保合法與安全。,訂房
449,18 發票收據資料與身分登記,電話寫朋友的可以嗎？,請使用官方表單或官方LINE提供正確資料；姓名、電話、人數、車輛、寵物與發票資料有變更請入住前通知。,電話寫朋友的可以
450,18 發票收據資料與身分登記,資料變更要什麼時候通知？,請使用官方表單或官方LINE提供正確資料；姓名、電話、人數、車輛、寵物與發票資料有變更請入住前通知。,資料變更要什麼時
451,19 隱私保險遺失物與客訴,房間內有監視器嗎？,客房與浴室等私人空間不會設置監視器；公共或戶外監視器若有設置，目的為安全與出入口管理。,監視器
452,19 隱私保險遺失物與客訴,公共區監視器會拍到我們嗎？,客房與浴室等私人空間不會設置監視器；公共或戶外監視器若有設置，目的為安全與出入口管理。,監視器
453,19 隱私保險遺失物與客訴,民宿有保險嗎？,合法民宿依規定應投保責任保險；實際保障與理賠依保單與事故情況辦理。,民宿有保險嗎
454,19 隱私保險遺失物與客訴,東西遺失怎麼辦？,請提供物品特徵、可能位置與入住日期；找到後可協助寄回或自取，貴重物品建議自行保管。,東西遺失怎麼辦
455,19 隱私保險遺失物與客訴,退房後發現忘東西怎麼辦？,請提供物品特徵、可能位置與入住日期；找到後可協助寄回或自取，貴重物品建議自行保管。,退房
456,19 隱私保險遺失物與客訴,遺失物會保管多久？,請提供物品特徵、可能位置與入住日期；找到後可協助寄回或自取，貴重物品建議自行保管。,遺失物會保管多久
457,19 隱私保險遺失物與客訴,貴重物品可以寄放嗎？,請提供物品特徵、可能位置與入住日期；找到後可協助寄回或自取，貴重物品建議自行保管。,貴重物品可以寄放
458,19 隱私保險遺失物與客訴,房內物品壞了怎麼辦？,請主動拍照並通知民宿；民宿會判斷正常耗損或人為損壞，依證據與規範協調清潔、修復或賠償。,房內物品壞了怎麼
459,19 隱私保險遺失物與客訴,不小心打破杯子要賠嗎？,請主動拍照並通知民宿；民宿會判斷正常耗損或人為損壞，依證據與規範協調清潔、修復或賠償。,不小心打破杯子要
460,19 隱私保險遺失物與客訴,床單被染色怎麼辦？,請主動拍照並通知民宿；民宿會判斷正常耗損或人為損壞，依證據與規範協調清潔、修復或賠償。,床單被染色怎麼辦
461,19 隱私保險遺失物與客訴,家具刮傷怎麼辦？,請主動拍照並通知民宿；民宿會判斷正常耗損或人為損壞，依證據與規範協調清潔、修復或賠償。,家具刮傷怎麼辦
462,19 隱私保險遺失物與客訴,入住不滿意可以退費嗎？,請第一時間反映並提供照片或狀況說明，讓民宿可即時改善；退費或補償需依問題性質與訂房政策判斷。,入住
463,19 隱私保險遺失物與客訴,房間跟照片不一樣怎麼辦？,請第一時間反映並提供照片或狀況說明，讓民宿可即時改善；退費或補償需依問題性質與訂房政策判斷。,房間跟照片不一樣
464,19 隱私保險遺失物與客訴,設備故障會補償嗎？,請第一時間反映並提供照片或狀況說明，讓民宿可即時改善；退費或補償需依問題性質與訂房政策判斷。,設備故障會補償嗎
465,19 隱私保險遺失物與客訴,隔壁太吵怎麼辦？,請立即聯繫民宿，由工作人員協助提醒與處理；不要直接與對方發生衝突。,隔壁太吵怎麼辦
466,19 隱私保險遺失物與客訴,附近鄰居抗議怎麼辦？,請立即聯繫民宿，由工作人員協助提醒與處理；不要直接與對方發生衝突。,附近鄰居抗議怎麼
467,19 隱私保險遺失物與客訴,可以給評價嗎？,非常歡迎留下真實評價，您的回饋能幫助我們改善服務；若入住中有任何問題，也請第一時間告訴管家，讓我們有機會即時協助。,可以給評價嗎
468,19 隱私保險遺失物與客訴,評論可以獲得優惠嗎？,若有評論活動或回饋優惠，會依當期公告為準；民宿歡迎真實心得，但不會要求不實好評或以優惠交換不實評價。,評論可以獲得優惠
469,19 隱私保險遺失物與客訴,可以客訴嗎？,可以，請提供入住日期、房型、問題描述與照片，我們會認真處理並回覆改善方式。,可以客訴嗎
470,19 隱私保險遺失物與客訴,遇到安全疑慮怎麼辦？,若遇到人身安全、火災、醫療急症或可疑狀況，請優先撥打 110 或 119，再立即通知管家；非急迫問題可用官方 LINE 聯繫。,遇到安全疑慮怎麼
471,19 隱私保險遺失物與客訴,鄰近施工會事先通知嗎？,若住宿期間附近有已知施工或可能影響入住的狀況，民宿會盡量提前通知；臨時施工或外部因素則會依現場狀況協助說明與處理。,鄰近施工會事先通
472,19 隱私保險遺失物與客訴,停水怎麼辦？,若遇停水，請先停止大量用水並立即通知管家；民宿會協助確認是區域停水、設備異常或臨時狀況，並依情況提供處理方式。,停水怎麼辦
473,19 隱私保險遺失物與客訴,網路斷線怎麼辦？,若網路斷線，請先確認 Wi-Fi 名稱與設備電源，仍無法連線時請通知管家；民宿會協助重啟設備或確認是否為外部網路異常。,網路斷線怎麼辦
474,19 隱私保險遺失物與客訴,房間被誤闖怎麼辦？,若發生房間被誤闖或疑似安全問題，請立即通知管家；若涉及人身安全，請先撥打 110 或 119，並保留現場狀況。,房間被誤闖怎麼辦
475,19 隱私保險遺失物與客訴,退房後被通知損壞怎麼辦？,請主動拍照並通知民宿；民宿會判斷正常耗損或人為損壞，依證據與規範協調清潔、修復或賠償。,退房
476,20 特殊需求與情境應對,可以帶導盲犬或服務犬嗎？,服務性動物需求請事先告知，民宿會依相關規範與實際動線協助安排；請攜帶必要證明與用品。,可以帶導盲犬或服
477,20 特殊需求與情境應對,我對羽絨過敏怎麼辦？,請訂房時告知過敏項目，民宿會確認是否可調整寢具、減少香氛或建議自備用品。,我對羽絨過敏怎麼
478,20 特殊需求與情境應對,我對香味過敏可以嗎？,請訂房時告知過敏項目，民宿會確認是否可調整寢具、減少香氛或建議自備用品。,我對香味過敏可以
479,20 特殊需求與情境應對,可以安排安靜房嗎？,可以提出房型、樓層或安靜需求，我們會依房況盡量安排，但無法保證一定指定成功。,可以安排安靜房嗎
480,20 特殊需求與情境應對,可以安排浪漫布置嗎？,可提前提供預算、時間與驚喜流程，民宿會確認可協助項目、費用與不傷場地的布置方式。,可以安排浪漫布置
481,20 特殊需求與情境應對,可以準備求婚驚喜嗎？,可提前提供預算、時間與驚喜流程，民宿會確認可協助項目、費用與不傷場地的布置方式。,可以準備求婚驚喜
482,20 特殊需求與情境應對,可以準備生日蛋糕嗎？,可提前提供預算、時間與驚喜流程，民宿會確認可協助項目、費用與不傷場地的布置方式。,可以準備生日蛋糕
483,20 特殊需求與情境應對,可以提早寄生日禮物到民宿嗎？,可提前提供預算、時間與驚喜流程，民宿會確認可協助項目、費用與不傷場地的布置方式。,可以提早寄生日禮
484,20 特殊需求與情境應對,可以安排鮮花嗎？,可提前提供預算、時間與驚喜流程，民宿會確認可協助項目、費用與不傷場地的布置方式。,可以安排鮮花嗎
485,20 特殊需求與情境應對,可以幫忙保密驚喜嗎？,可提前提供預算、時間與驚喜流程，民宿會確認可協助項目、費用與不傷場地的布置方式。,可以幫忙保密驚喜
486,20 特殊需求與情境應對,可以入住前先送冷凍蛋糕嗎？,冷藏冷凍物、快遞或大型道具代收需事前確認尺寸、到貨時間與保存空間，未確認不建議寄送。,入住
487,20 特殊需求與情境應對,可以帶長輩醫療器材嗎？,必要醫療器材或冷藏藥品可先告知；高功率設備與冷藏空間需確認，用藥請自行保管。,可以帶長輩醫療器
488,20 特殊需求與情境應對,需要冷藏藥品怎麼辦？,冷藏冷凍物、快遞或大型道具代收需事前確認尺寸、到貨時間與保存空間，未確認不建議寄送。,需要冷藏藥品怎麼
